,acc_mean,acc_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std
2x2x0.4,0.7238095238095238,0.05452560011846833,0.6896887599786151,0.03827307387338408,0.7552631578947369,0.028802675269825283
2x2x0.5,0.711111111111111,0.05656676089271741,0.6649918784593037,0.06479156056729572,0.7493421052631579,0.028586702410843833
2x2x0.6,0.707936507936508,0.04572971520916659,0.6670095890844573,0.062044674000601534,0.761244019138756,0.02344924773115468
2x2x0.7,0.7174603174603175,0.0425917709999935,0.6748128993581147,0.06422893187653268,0.7607655502392345,0.022169560996231387
2x3x0.1,0.7238095238095238,0.05896563689208424,0.7030935008593104,0.06266183072310742,0.7665071770334928,0.0278659358731814
2x3x0.2,0.7206349206349206,0.04572971520916659,0.698459310122266,0.035117897151910445,0.7653110047846889,0.02557683686297539
2x3x0.3,0.7238095238095238,0.05452560011846833,0.6977731925528434,0.038192663377839456,0.7633971291866029,0.024490878262332788
2x3x0.4,0.7238095238095238,0.05452560011846833,0.6977731925528434,0.038192663377839456,0.7614832535885168,0.02182153923634395
2x3x0.5,0.7206349206349206,0.05335789306022691,0.6928419402395413,0.04098774441807194,0.7631578947368421,0.02668027275501731
2x3x0.6,0.7238095238095238,0.05452560011846833,0.6920118704193726,0.04141926487796385,0.7633971291866029,0.025744116846531127
2x3x0.7,0.7396825396825397,0.03822728437711547,0.6660534549576148,0.08367438429899564,0.7605263157894736,0.027530158325989217
2x4x0.1,0.7206349206349206,0.06408453726408299,0.6978365947947506,0.06482835632887288,0.7650717703349282,0.02854067988304684
2x4x0.2,0.7238095238095238,0.05896563689208424,0.7030935008593104,0.06266183072310742,0.7677033492822967,0.027608007925240863
2x4x0.3,0.7238095238095238,0.056789027999994156,0.705122907944071,0.05120090358212855,0.7674641148325358,0.028615780477441597
2x4x0.4,0.7206349206349206,0.057887563583524766,0.6942090146390025,0.05517464375088775,0.7617224880382775,0.0334864142877565
